Destination,Accommodation type,Accommodation cost,Transportation type,
Sydney,Hotel,300.00,Flight,
London,Hotel,900.00,Train,
Phuket,Villa,2000.00,Flight,
Rome,Hotel,1100.00,Train,
Santorini,Airbnb,1000.00,Ferry,
Dubai,Hotel,1500.00,Car rental,
Phnom Penh,Hotel,200.00,Flight,
"Tokyo, Japan",Hotel,1000.00,Flight,
"Paris, France",Hotel,1200.00,Train,
"Sydney, Aus",Airbnb,800.00,Flight,
"Rome, Italy",Hotel,900.00,Train,
"Bali, Indonesia",Hotel,500.00,Flight,
"Cancun, Mexico",Hotel,1300.00,Flight,
"Athens, Greece",Airbnb,700.00,Flight,
"Tokyo, Japan",Hotel,1200.00,Flight,
"Sydney, Aus",Airbnb,900.00,Flight,
"Paris, France",Hotel,400.00,Flight,
"Bali, Indonesia",Hotel,800.00,Flight,
"Paris, France",Hotel,5000.00,Flight,
"Tokyo, Japan",Airbnb,7000.00,Train,
"Cape Town, South Africa",Hotel,3000.00,Car,
"Sydney, Australia",Hotel,10000.00,Flight,
"Rome, Italy",Airbnb,2000.00,Train,
"New York City, USA",Hotel,2300.00,Flight,
"Rio de Janeiro, Brazil",Hotel,2500.00,Car,
"Vancouver, Canada",Hotel,9300.00,Flight,
"Bangkok, Thailand",Hotel,6000.00,Train,
"Barcelona, Spain",Airbnb,8500.00,Flight,
"Auckland, New Zealand",Hotel,7000.00,Train,
